year,gender,classification,league,school_id,school_name,matched_name,sub_classification
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,75619,Riverdale,Riverdale,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,124802,Westside Christian,Westside Christian,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,124983,Blanchet Catholic,Blanchet School,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,124895,Catlin Gabel,Catlin Gabel School,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,124884,Oregon Episcopal,Oregon Episcopal School,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,7070618,"Riverside, WLWV",Riverside (West Linn - Wilsonville),2A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,7070593,Trinity Acad.,Trinity Academy,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD1 Special District 1,124656,Valley Catholic,Valley Catholic School,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,74861,Cascade,Cascade,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75003,Estacada,Estacada,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75188,Junction City,Junction City,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75153,Madras,Madras,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,124728,Marist Catholic,Marist Catholic,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75330,Molalla,Molalla,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75406,North Marion,North Marion,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75463,Philomath,Philomath,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,74614,Stayton,Stayton,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,75837,Sweet Home,Sweet Home,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD2 Special District 2,74876,Central,Central (Independence),4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,124825,Cascade Christian,Cascade Christian,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,74934,Creswell,Creswell,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,75205,Henley,Henley,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,75182,Hidden Valley,Hidden Valley,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,75219,Klamath Union,Klamath Union,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,74929,Marshfield,Marshfield,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,75207,Mazama,Mazama,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,75184,North Valley,North Valley,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD3 Special District 3,124823,"St. Mary's, Medford",St Mary's of Medford,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,74707,Arlington,Arlington,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,74901,Condon,Condon,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75341,Irrigon,Irrigon,2A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75339,Riverside,Riverside,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75740,Sherman,Sherman,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75764,Sisters,Sisters,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75825,Stanfield,Stanfield,2A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,74671,The Dalles,The Dalles,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,75865,Umatilla,Umatilla,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,74723,Weston-McEwen,Weston-McEwen,2A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,,Echo,,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD4 Special District 4,74665,Ione,Ione-Heppner,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,74728,Baker,Baker,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,75321,McLoughlin,McLoughlin,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,75412,Nyssa,Nyssa,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,75425,Ontario,Ontario,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,75454,Pendleton,Pendleton,4A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,74596,Vale,Vale,3A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,7070534,Four Rivers,Four Rivers Charter,1A
2027,Boys,4A/3A/2A/1A,4A/3A/2A/1A-SD5 Special District 5,75227,La Grande,LA GRANDE HIGH SCHOOL,4A
2027,Boys,5A,5A-1 Northwest Oregon Conference,74869,Centennial,Centennial,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75142,Hood River Valley,Hood River Valley,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75448,Parkrose,Parkrose,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75388,Putnam,Putnam,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75713,Sandy,Sandy,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75387,Milwaukie,Milwaukie / Milwaukie Acad. of the Arts,5A
2027,Boys,5A,5A-1 Northwest Oregon Conference,75818,St. Helens,St Helens,5A
2027,Boys,5A,5A-2 Greater Metro Conference,74775,Aloha,Aloha,5A
2027,Boys,5A,5A-2 Greater Metro Conference,74852,Canby,Canby,5A
2027,Boys,5A,5A-2 Greater Metro Conference,74634,Hillsboro,Hillsboro,5A
2027,Boys,5A,5A-2 Greater Metro Conference,124831,La Salle Prep,La Salle Prep,5A
2027,Boys,5A,5A-2 Greater Metro Conference,74645,Liberty,Liberty,5A
2027,Boys,5A,5A-2 Greater Metro Conference,75881,Wilsonville,Wilsonville,5A
2027,Boys,5A,5A-2 Greater Metro Conference,75906,Woodburn,Woodburn,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,74917,Corvallis,Corvallis,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,74918,Crescent Valley,Crescent Valley,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,74954,Dallas,Dallas,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,75251,Lebanon,Lebanon,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,75762,Silverton,Silverton,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,74695,South Albany,South Albany,5A
2027,Boys,5A,5A-3 Mid-Willamette Conference,74694,West Albany,West Albany,5A
2027,Boys,5A,5A-4 Intermountain Conference,74804,Bend,Bend,5A
2027,Boys,5A,5A-4 Intermountain Conference,7070586,Caldera,Caldera,5A
2027,Boys,5A,5A-4 Intermountain Conference,74940,Crook County,Crook County,5A
2027,Boys,5A,5A-4 Intermountain Conference,74805,Mountain View,Mountain View,5A
2027,Boys,5A,5A-4 Intermountain Conference,75585,Redmond,Redmond,5A
2027,Boys,5A,5A-4 Intermountain Conference,7070583,Ridgeview,Ridgeview,5A
2027,Boys,5A,5A-4 Intermountain Conference,74814,Summit,Summit,5A
2027,Boys,5A,5A-SD1 Special District 1,74713,Ashland,Ashland,5A
2027,Boys,5A,5A-SD1 Special District 1,75034,Churchill,Churchill,5A
2027,Boys,5A,5A-SD1 Special District 1,75031,North Eugene,North Eugene,5A
2027,Boys,5A,5A-SD1 Special District 1,75807,Springfield,Springfield,5A
2027,Boys,5A,5A-SD1 Special District 1,75808,Thurston,Thurston,5A
2027,Boys,5A,5A-SD1 Special District 1,74829,Willamette,Willamette,5A
2027,Boys,6A,6A-1 Portland Interscholastic League,75547,Benson,Benson,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75548,Cleveland,Cleveland,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75549,Franklin,Franklin,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75550,Grant,Grant,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75552,Lincoln,Lincoln,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75564,Roosevelt,Roosevelt,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75555,Ida B. Wells,Ida B. Wells-Barnett High School,6A
2027,Boys,6A,6A-1 Portland Interscholastic League,75554,McDaniel,McDaniel High School,6A
2027,Boys,6A,6A-2 Metro League,74776,Beaverton,Beaverton,6A
2027,Boys,6A,6A-2 Metro League,124879,Jesuit,Jesuit,6A
2027,Boys,6A,6A-2 Metro League,7070582,Mountainside,Mountainside,6A
2027,Boys,6A,6A-2 Metro League,74785,Southridge,Southridge,6A
2027,Boys,6A,6A-2 Metro League,74777,Sunset,Sunset,6A
2027,Boys,6A,6A-2 Metro League,74745,Westview,Westview,6A
2027,Boys,6A,6A-3 Pacific Conference,74631,Century,Century,6A
2027,Boys,6A,6A-3 Pacific Conference,75069,Forest Grove,Forest Grove,6A
2027,Boys,6A,6A-3 Pacific Conference,74639,Glencoe,Glencoe,6A
2027,Boys,6A,6A-3 Pacific Conference,75289,McMinnville,McMinnville,6A
2027,Boys,6A,6A-3 Pacific Conference,75359,Newberg,Newberg,6A
2027,Boys,6A,6A-3 Pacific Conference,75744,Sherwood,Sherwood,6A
2027,Boys,6A,6A-4 Mt. Hood Conference,124868,Central Catholic,Central Catholic,6A
2027,Boys,6A,6A-4 Mt. Hood Conference,75386,Clackamas,Clackamas,6A
2027,Boys,6A,6A-4 Mt. Hood Conference,74965,David Douglas,David Douglas,6A
2027,Boys,6A,6A-4 Mt. Hood Conference,75112,Gresham,Gresham,6A
2027,Boys,6A,6A-4 Mt. Hood Conference,7070587,Nelson,Nelson,6A
