School_ID,School_Name,Classification,League_District
74775,Aloha,6A,Metro (6A-2)
74707,Arlington,4A/3A/2A/1A,Special District 4
74713,Ashland,5A,Midwestern (5A-2)
74728,Baker,4A/3A/2A/1A,Special District 5
74776,Beaverton,6A,Metro (6A-2)
74804,Bend,5A,Intermountain (5A-4)
75547,Benson,6A,PIL (6A-1)
124983,Blanchet School,4A/3A/2A/1A,Special District 1
7070586,Caldera,5A,Intermountain (5A-4)
74852,Canby,5A,NW Oregon (5A-1)
74861,Cascade,4A/3A/2A/1A,Special District 2
124825,Cascade Christian,4A/3A/2A/1A,Special District 3
124895,Catlin Gabel School,4A/3A/2A/1A,Special District 1
74869,Centennial,5A,NW Oregon (5A-1)
74876,Central (Independence),5A,Mid-Willamette (5A-3)
124868,Central Catholic,6A,Mt. Hood (6A-4)
74631,Century,6A,Pacific (6A-3)
75034,Churchill,5A,Midwestern (5A-2)
75386,Clackamas,6A,Mt. Hood (6A-4)
75548,Cleveland,6A,PIL (6A-1)
74901,Condon,4A/3A/2A/1A,Special District 4
74917,Corvallis,5A,Mid-Willamette (5A-3)
74918,Crescent Valley,5A,Mid-Willamette (5A-3)
74934,Creswell,4A/3A/2A/1A,Special District 3
74940,Crook County,5A,Intermountain (5A-4)
74954,Dallas,5A,Mid-Willamette (5A-3)
74965,David Douglas,6A,Mt. Hood (6A-4)
75003,Estacada,4A/3A/2A/1A,Special District 2
75069,Forest Grove,6A,Pacific (6A-3)
7070534,Four Rivers Charter,4A/3A/2A/1A,Special District 5
75549,Franklin,6A,PIL (6A-1)
74639,Glencoe,6A,Pacific (6A-3)
75550,Grant,6A,PIL (6A-1)
75097,Grants Pass,6A,Southwest (6A-7)
75112,Gresham,6A,Mt. Hood (6A-4)
75205,Henley,4A/3A/2A/1A,Special District 3
75182,Hidden Valley,4A/3A/2A/1A,Special District 3
74634,Hillsboro,5A,NW Oregon (5A-1)
75142,Hood River Valley,5A,NW Oregon (5A-1)
75555,Ida B. Wells-Barnett High School,6A,PIL (6A-1)
74665,Ione-Heppner,4A/3A/2A/1A,Special District 4
75341,Irrigon,4A/3A/2A/1A,Special District 4
124879,Jesuit,6A,Metro (6A-2)
75188,Junction City,4A/3A/2A/1A,Special District 2
75219,Klamath Union,4A/3A/2A/1A,Special District 3
75227,LA GRANDE HIGH SCHOOL,4A/3A/2A/1A,Special District 5
124831,La Salle Prep,5A,NW Oregon (5A-1)
75236,Lake Oswego,6A,Three Rivers (6A-5)
75237,Lakeridge,6A,Three Rivers (6A-5)
75251,Lebanon,5A,Mid-Willamette (5A-3)
74645,Liberty,6A,Pacific (6A-3)
75552,Lincoln,6A,PIL (6A-1)
75153,Madras,4A/3A/2A/1A,Special District 4
124728,Marist Catholic,4A/3A/2A/1A,Special District 2
74929,Marshfield,4A/3A/2A/1A,Special District 3
75207,Mazama,4A/3A/2A/1A,Special District 3
75554,McDaniel High School,6A,PIL (6A-1)
75688,McKay,5A,Mid-Willamette (5A-3)
75321,McLoughlin,4A/3A/2A/1A,Special District 5
75289,McMinnville,6A,Pacific (6A-3)
75683,McNary,6A,Central Valley (6A-6)
75387,Milwaukie / Milwaukie Acad. of the Arts,5A,NW Oregon (5A-1)
75330,Molalla,4A/3A/2A/1A,Special District 2
74805,Mountain View,5A,Intermountain (5A-4)
7070582,Mountainside,6A,Metro (6A-2)
7070587,Nelson,6A,Mt. Hood (6A-4)
75359,Newberg,6A,Pacific (6A-3)
75366,North Bend,4A/3A/2A/1A,Special District 3
75031,North Eugene,5A,Midwestern (5A-2)
75406,North Marion,4A/3A/2A/1A,Special District 2
75310,North Medford,6A,Southwest (6A-7)
75684,North Salem,6A,Central Valley (6A-6)
75184,North Valley,4A/3A/2A/1A,Special District 3
75412,Nyssa,4A/3A/2A/1A,Special District 5
75425,Ontario,4A/3A/2A/1A,Special District 5
124884,Oregon Episcopal School,4A/3A/2A/1A,Special District 1
75448,Parkrose,5A,NW Oregon (5A-1)
75454,Pendleton,4A/3A/2A/1A,Special District 5
75463,Philomath,4A/3A/2A/1A,Special District 2
75388,Putnam,5A,NW Oregon (5A-1)
75585,Redmond,5A,Intermountain (5A-4)
75606,Reynolds,6A,Mt. Hood (6A-4)
7070583,Ridgeview,5A,Intermountain (5A-4)
75619,Riverdale,4A/3A/2A/1A,Special District 1
75339,Riverside,4A/3A/2A/1A,Special District 4
7070618,Riverside (West Linn - Wilsonville),4A/3A/2A/1A,Special District 1
75564,Roosevelt,6A,PIL (6A-1)
75636,Roseburg,6A,Southwest (6A-7)
75113,Sam Barlow,6A,Mt. Hood (6A-4)
75713,Sandy,6A,Mt. Hood (6A-4)
75032,Sheldon,6A,Southwest (6A-7)
75740,Sherman,4A/3A/2A/1A,Special District 4
75744,Sherwood,6A,Pacific (6A-3)
75762,Silverton,5A,Mid-Willamette (5A-3)
75764,Sisters,4A/3A/2A/1A,Special District 4
74695,South Albany,5A,Mid-Willamette (5A-3)
75033,South Eugene,6A,Southwest (6A-7)
75309,South Medford,6A,Southwest (6A-7)
75686,South Salem,6A,Central Valley (6A-6)
74785,Southridge,6A,Metro (6A-2)
75685,Sprague,6A,Central Valley (6A-6)
75807,Springfield,5A,Midwestern (5A-2)
75818,St Helens,4A/3A/2A/1A,Special District 1
124823,St Mary's of Medford,4A/3A/2A/1A,Special District 3
75825,Stanfield,4A/3A/2A/1A,Special District 4
74614,Stayton,4A/3A/2A/1A,Special District 2
74814,Summit,5A,Intermountain (5A-4)
74777,Sunset,6A,Metro (6A-2)
74671,The Dalles,4A/3A/2A/1A,Special District 4
75808,Thurston,5A,Midwestern (5A-2)
75848,Tigard,6A,Three Rivers (6A-5)
7070593,Trinity Academy,4A/3A/2A/1A,Special District 1
75840,Tualatin,6A,Three Rivers (6A-5)
75865,Umatilla,4A/3A/2A/1A,Special District 4
74596,Vale,4A/3A/2A/1A,Special District 5
124656,Valley Catholic School,4A/3A/2A/1A,Special District 1
74694,West Albany,5A,Mid-Willamette (5A-3)
75880,West Linn,6A,Three Rivers (6A-5)
75702,West Salem,6A,Central Valley (6A-6)
74723,Weston-McEwen,4A/3A/2A/1A,Special District 4
74745,Westview,6A,Metro (6A-2)
74829,Willamette,6A,Southwest (6A-7)
75881,Wilsonville,5A,NW Oregon (5A-1)
75906,Woodburn,5A,Mid-Willamette (5A-3)
