id,name,city,state
74775,Aloha,Beaverton,OR
74707,Arlington,Arlington,OR
74713,Ashland,Ashland,OR
74728,Baker,Baker city,OR
74776,Beaverton,Beaverton,OR
74804,Bend,Bend,OR
75547,Benson,Portland,OR
124983,Blanchet School,Salem,OR
7070586,Caldera,Bend,OR
74852,Canby,Canby,OR
74861,Cascade,Turner,OR
124825,Cascade Christian,Medford,OR
124895,Catlin Gabel School,Portland,OR
74869,Centennial,Gresham,OR
74876,Central (Independence),Independence,OR
124868,Central Catholic,Portland,OR
74631,Century,Hillsboro,OR
75034,Churchill,Eugene,OR
75386,Clackamas,Clackamas,OR
75548,Cleveland,Portland,OR
74901,Condon,Condon,OR
74917,Corvallis,Corvallis,OR
74918,Crescent Valley,Corvallis,OR
74934,Creswell,Creswell,OR
74940,Crook County,Prineville,OR
74954,Dallas,Dallas,OR
74965,David Douglas,Portland,OR
75003,Estacada,Estacada,OR
75069,Forest Grove,Forest grove,OR
7070534,Four Rivers Charter,Ontario,OR
75549,Franklin,Portland,OR
74639,Glencoe,Hillsboro,OR
75550,Grant,Portland,OR
75097,Grants Pass,Grants pass,OR
75112,Gresham,Gresham,OR
75205,Henley,Klamath falls,OR
75182,Hidden Valley,Grants pass,OR
74634,Hillsboro,Hillsboro,OR
75142,Hood River Valley,Hood river,OR
75555,Ida B. Wells-Barnett High School,Portland,OR
74665,Ione-Heppner,Ione,OR
75341,Irrigon,Irrigon,OR
124879,Jesuit,Portland,OR
75188,Junction City,Junction city,OR
75219,Klamath Union,Klamath falls,OR
75227,LA GRANDE HIGH SCHOOL,La grande,OR
124831,La Salle Prep,Milwaukie,OR
75236,Lake Oswego,Lake oswego,OR
75237,Lakeridge,Lake oswego,OR
75251,Lebanon,Lebanon,OR
74645,Liberty,Hillsboro,OR
75552,Lincoln,Portland,OR
75153,Madras,Madras,OR
124728,Marist Catholic,Eugene,OR
74929,Marshfield,Coos bay,OR
75207,Mazama,Klamath falls,OR
75554,McDaniel High School,Portland,OR
75688,McKay,Salem,OR
75321,McLoughlin,Milton-freewater,OR
75289,McMinnville,Mcminnville,OR
75683,McNary,Keizer,OR
75387,Milwaukie / Milwaukie Acad. of the Arts,Milwaukie,OR
75330,Molalla,Molalla,OR
74805,Mountain View,Bend,OR
7070582,Mountainside,Beaverton,OR
7070587,Nelson,Happy valley,OR
75359,Newberg,Newberg,OR
75366,North Bend,North bend,OR
75031,North Eugene,Eugene,OR
75406,North Marion,Aurora,OR
75310,North Medford,Medford,OR
75684,North Salem,Salem,OR
75184,North Valley,Grants pass,OR
75412,Nyssa,Nyssa,OR
75425,Ontario,Ontario,OR
124884,Oregon Episcopal School,Portland,OR
75448,Parkrose,Portland,OR
75454,Pendleton,Pendleton,OR
75463,Philomath,Philomath,OR
75388,Putnam,Milwaukie,OR
75585,Redmond,Redmond,OR
75606,Reynolds,Troutdale,OR
7070583,Ridgeview,Redmond,OR
75619,Riverdale,Portland,OR
75339,Riverside,Boardman,OR
7070618,Riverside (West Linn - Wilsonville),West linn,OR
75564,Roosevelt,Portland,OR
75636,Roseburg,Roseburg,OR
75113,Sam Barlow,Gresham,OR
75713,Sandy,Sandy,OR
75032,Sheldon,Eugene,OR
75740,Sherman,Moro,OR
75744,Sherwood,Sherwood,OR
75762,Silverton,Silverton,OR
75764,Sisters,Sisters,OR
74695,South Albany,Albany,OR
75033,South Eugene,Eugene,OR
75309,South Medford,Medford,OR
75686,South Salem,Salem,OR
74785,Southridge,Beaverton,OR
75685,Sprague,Salem,OR
75807,Springfield,Springfield,OR
75818,St Helens,St helens,OR
124823,St Mary's of Medford,Medford,OR
75825,Stanfield,Stanfield,OR
74614,Stayton,Stayton,OR
74814,Summit,Bend,OR
74777,Sunset,Portland,OR
74671,The Dalles,The dalles,OR
75808,Thurston,Springfield,OR
75848,Tigard,Tigard,OR
7070593,Trinity Academy,Portland,OR
75840,Tualatin,Tualatin,OR
75865,Umatilla,Umatilla,OR
74596,Vale,Vale,OR
124656,Valley Catholic School,Beaverton,OR
74694,West Albany,Albany,OR
75880,West Linn,West linn,OR
75702,West Salem,Salem,OR
74723,Weston-McEwen,Athena,OR
74745,Westview,Portland,OR
74829,Willamette,Eugene,OR
75881,Wilsonville,Wilsonville,OR
75906,Woodburn,Woodburn,OR
