year,classification,gender,place,team,entries,total_points
2025,6A,Boys,1,Lincoln,6,18
2025,6A,Boys,2,West Linn,2,17
2025,6A,Boys,3,Jesuit,3,12
2025,6A,Boys,3,Lake Oswego,3,12
2025,6A,Boys,5,Mountainside,2,8.5
2025,6A,Boys,6,South Eugene,3,8
2025,6A,Boys,6,Sunset,1,8
2025,6A,Boys,8,Sheldon,1,7
2025,6A,Boys,9,Lakeridge,2,6
2025,6A,Boys,9,Roseburg,3,6
2025,6A,Boys,11,Sprague,3,4.5
2025,6A,Boys,12,South Medford,1,4
2025,6A,Boys,12,Tigard,1,4
2025,6A,Boys,12,Westview,2,4
2025,6A,Boys,15,Barlow,4,2.5
2025,6A,Boys,16,Central Catholic,2,2
2025,6A,Boys,16,Century,1,2
2025,6A,Boys,16,Grant,1,2
2025,6A,Boys,16,McMinnville,1,2
2025,6A,Boys,16,Newberg,3,2
2025,6A,Boys,21,McDaniel,1,1.5
2025,6A,Boys,22,South Salem,4,0.5
2025,6A,Boys,23,Forest Grove,1,0
2025,6A,Boys,23,Glencoe,1,0
2025,6A,Boys,23,Liberty,1,0
2025,6A,Boys,23,Nelson,2,0
2025,6A,Boys,23,West Salem,1,0
2025,6A,Girls,1,Westview,3,19
2025,6A,Girls,2,West Linn,2,16
2025,6A,Girls,3,Jesuit,2,14
2025,6A,Girls,4,Sunset,2,11
2025,6A,Girls,5,Nelson,1,8
2025,6A,Girls,5,Sheldon,3,8
2025,6A,Girls,5,South Eugene,3,8
2025,6A,Girls,8,Grant,4,6
2025,6A,Girls,8,Lake Oswego,3,6
2025,6A,Girls,10,Sherwood,4,5
2025,6A,Girls,11,Benson,1,4
2025,6A,Girls,11,Central Catholic,3,4
2025,6A,Girls,11,McMinnville,2,4
2025,6A,Girls,11,South Medford,1,4
2025,6A,Girls,15,Sprague,4,2.5
2025,6A,Girls,16,Century,1,2
2025,6A,Girls,16,Forest Grove,1,2
2025,6A,Girls,16,Ida B. Wells,1,2
2025,6A,Girls,16,Lincoln,2,2
2025,6A,Girls,16,Mountainside,1,2
2025,6A,Girls,16,Roseburg,1,2
2025,6A,Girls,22,Barlow,2,1
2025,6A,Girls,22,Tualatin,1,1
2025,6A,Girls,24,Lakeridge,2,0.5
2025,6A,Girls,25,David Douglas,2,0
2025,6A,Girls,25,McNary,1,0
2025,6A,Girls,25,South Salem,1,0
2025,6A,Girls,25,West Salem,2,0
2025,5A,Boys,1,La Salle Prep,4,15
2025,5A,Boys,2,Summit,4,14.5
2025,5A,Boys,3,Crescent Valley,3,14
2025,5A,Boys,4,Caldera,2,11
2025,5A,Boys,5,Ashland,4,4
2025,5A,Boys,6,Centennial,1,2
2025,5A,Boys,6,Hood River Valley,1,2
2025,5A,Boys,6,South Albany,1,2
2025,5A,Boys,6,Wilsonville,2,2
2025,5A,Boys,10,Bend,1,1
